"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000128272","ATF4","protein_coding",3498.7666643733,0.559335885887934,0.0594477824788975,9.76807524550551,1.54356569841009e-22,2.19911805052486e-18
"ENSG00000130766","SESN2","protein_coding",429.499908225404,0.905041450204574,0.10473746189315,9.17472128790598,4.52744126034196e-20,3.2251227818046e-16
"ENSG00000172216","CEBPB","protein_coding",752.266471234735,0.733082968976424,0.0886088842154937,8.65937821524016,4.74344514814369e-18,2.25266210085344e-14
"ENSG00000128965","CHAC1","protein_coding",30.4549615996542,2.84504436678543,0.354585505551773,8.1997427770074,2.40901936265298e-16,8.58032471492924e-13
"ENSG00000100664","EIF5","protein_coding",1361.90081864006,-0.50339021779659,0.0713560851472464,-7.71401889288244,1.21916414842899e-14,3.47388632453355e-11
"ENSG00000113739","STC2","protein_coding",405.249248355918,0.738763904727034,0.105418835013766,7.48781691558653,7.00286187528925e-14,1.66282955228743e-10
"ENSG00000168209","DDIT4","protein_coding",445.100148310067,1.31758897393605,0.236689372570687,7.10676124661896,1.18797678689932e-12,2.41787218327922e-09
"ENSG00000141682","PMAIP1","protein_coding",392.018554165655,0.593269140726805,0.0941844448028377,6.89704907784847,5.30938438344983e-12,9.45534991387621e-09
"ENSG00000162772","ATF3","protein_coding",171.348310502931,0.80369938704706,0.136592429503776,6.55434289508571,5.58874167296343e-11,7.23843660133728e-08
"ENSG00000151012","SLC7A11","protein_coding",307.189788865099,0.723842673529861,0.123541079073278,6.47967307075738,9.19215731544531e-11,1.09133887727624e-07
"ENSG00000290398","ASNSP1","lncRNA",14.2103783987112,3.2105789371693,0.61453299565494,5.83462059693858,5.39131022641409e-09,5.1206664530481e-06
"ENSG00000157514","TSC22D3","protein_coding",931.104952752052,0.697062926841469,0.148277306004413,5.64262207841943,1.67479703204332e-08,1.40357843032478e-05
"ENSG00000116761","CTH","protein_coding",187.948221345251,0.643883696348004,0.141778453512017,5.56488738072236,2.62321768974751e-08,2.07627680143515e-05
"ENSG00000136167","LCP1","protein_coding",106.697184918159,-0.761668787301062,0.170439921648499,-5.52007179827301,3.38861177101286e-08,2.5409237842958e-05
"ENSG00000175197","DDIT3","protein_coding",59.8085353544994,0.863428479044136,0.21435206643663,5.37390403365307,7.70498763715073e-08,5.22728375554697e-05
"ENSG00000162733","DDR2","protein_coding",138.887074606252,0.654196946478458,0.157869089466054,5.33966430105474,9.31188458884267e-08,6.03029180623825e-05
"ENSG00000154734","ADAMTS1","protein_coding",248.562145189104,0.506009278816422,0.135204001560043,5.24960036475657,1.52429533224279e-07,8.92776555728527e-05
"ENSG00000146426","TIAM2","protein_coding",135.249571677248,0.608768757227542,0.159630259052471,5.19119628402299,2.08947206648553e-07,0.00010265071907317
"ENSG00000146006","LRRTM2","protein_coding",37.7749788787739,0.971705632939367,0.31954697264561,5.09657552482023,3.45852621542095e-07,0.00015894717093904
"ENSG00000159167","STC1","protein_coding",28.3213132561849,0.973027959241573,0.453037332911847,4.82208253147258,1.42067138098693e-06,0.000562230699025579
"ENSG00000272398","CD24","protein_coding",85.1679138573024,0.537439587579972,0.238234238409251,4.48319367033174,7.3534134408645e-06,0.00247431111664553
"ENSG00000196517","SLC6A9","protein_coding",76.1703810758944,0.547782402498461,0.264207830943829,4.41487102909388,1.01070228574981e-05,0.00306371818405905
